"file_name","width","height","aspect_ratio","orientation","size_mb","last_modified","issue","source_path"
"0 (2).png","978","1609","0.6078","portrait","2.74","2026-04-28 10:34:51","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\0 (2).png"
"0 (3).png","958","1642","0.5834","portrait","2.62","2026-04-28 16:38:32","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\0 (3).png"
"0.png","1024","1536","0.6667","portrait","3.03","2026-04-28 01:53:32","aspect_ratio_check","C:\Users\youbi\Desktop\작업물\타로 계획\결정\0.png"
"1.png","941","1672","0.5628","portrait","3.6","2026-04-27 23:48:32","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\1.png"
"10 (2).png","959","1641","0.5844","portrait","2.5","2026-04-28 20:08:50","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\10 (2).png"
"10 (3).png","958","1642","0.5834","portrait","2.24","2026-04-28 22:02:43","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\10 (3).png"
"10.png","958","1642","0.5834","portrait","2.89","2026-04-27 23:48:33","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\10.png"
"11 (2).png","958","1642","0.5834","portrait","2.66","2026-04-28 18:13:50","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\11 (2).png"
"11.png","959","1640","0.5848","portrait","2.64","2026-04-28 00:23:26","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\11.png"
"12 (2).png","957","1644","0.5821","portrait","2.5","2026-04-28 18:29:31","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\12 (2).png"
"12.png","972","1619","0.6004","portrait","2.7","2026-04-28 00:31:40","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\12.png"
"13 (2).png","958","1641","0.5838","portrait","2.6","2026-04-28 18:33:27","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\13 (2).png"
"13.png","992","1586","0.6255","portrait","2.51","2026-04-28 00:40:59","aspect_ratio_check","C:\Users\youbi\Desktop\작업물\타로 계획\결정\13.png"
"14.png","972","1619","0.6004","portrait","2.48","2026-04-28 00:47:40","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\14.png"
"15 (2).png","957","1643","0.5825","portrait","2.66","2026-04-28 19:41:36","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\15 (2).png"
"15.png","972","1619","0.6004","portrait","2.4","2026-04-28 00:55:30","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\15.png"
"16.png","972","1619","0.6004","portrait","2.55","2026-04-28 01:05:00","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\16.png"
"17.png","972","1619","0.6004","portrait","2.61","2026-04-28 01:12:47","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\17.png"
"18.png","959","1640","0.5848","portrait","2.75","2026-04-28 01:30:42","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\18.png"
"19.png","959","1640","0.5848","portrait","2.6","2026-04-27 20:42:25","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\19.png"
"2 (2).png","983","1600","0.6144","portrait","2.65","2026-04-28 10:46:24","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\2 (2).png"
"2 (3).png","958","1641","0.5838","portrait","2.49","2026-04-28 21:38:22","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\2 (3).png"
"2 (4).png","959","1640","0.5848","portrait","2.63","2026-04-28 22:44:07","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\2 (4).png"
"2 (5).png","958","1642","0.5834","portrait","2.44","2026-04-29 15:04:53","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\2 (5).png"
"2.png","827","1417","0.5836","portrait","2.1","2026-04-27 20:39:00","low_resolution_or_small","C:\Users\youbi\Desktop\작업물\타로 계획\결정\2.png"
"20 (2).png","959","1640","0.5848","portrait","2.56","2026-04-28 19:53:41","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\20 (2).png"
"20.png","972","1619","0.6004","portrait","2.48","2026-04-28 10:21:25","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\20.png"
"21.png","959","1639","0.5851","portrait","2.7","2026-04-27 19:56:35","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\21.png"
"22.png","948","1660","0.5711","portrait","2.63","2026-04-27 20:25:25","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\22.png"
"24.png","972","1619","0.6004","portrait","2.58","2026-04-28 10:53:03","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\24.png"
"25.png","972","1619","0.6004","portrait","2.52","2026-04-28 10:59:49","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\25.png"
